Stations,LAT,LON,Eng_Location
白山駅,35.721478000000005,139.75241,"Japan, 〒113-0001 Tokyo, Bunkyo City, 白山5-36-10 Hakusan Station"
見沼代親水公園駅,35.814556,139.77074,"Japan, 〒121-0831 Tōkyō-to, Adachi City, Toneri, 見沼代親水公園"
椎名町駅,35.72647,139.69492,"Shiinamachi Station, Japan"
多摩川駅,35.589496999999994,139.66878,"Tamagawa Station, １-５３-8 田園調布 大田区 東京都 145-0071, Japan"
京成金町駅,35.768612,139.8704,"Keisei-Kanamachi Station, 5-chōme-37 Kanamachi, Katsushika City, Tōkyō-to 125-0042, Japan"
茅場町駅,35.679848,139.779,"Japan, 茅場町駅"
金町駅,35.76954,139.87048000000001,"Kanamachi, Katsushika City, Tōkyō-to, Japan"
仙川駅,35.66236,139.58507,"Sengawa Station, Japan"
麹町駅,35.684364,139.73731999999998,"Japan, 〒102-0083 Tokyo, 千代田区 麹町3-2先 Kojimachi Station"
北池袋駅,35.740840000000006,139.71674,"Kita-Ikebukuro Station, 豊島区豊島清掃事務所 170-0011 36-6, １丁目-７-3 池袋本町 豊島区 東京都 170-0011, Japan"
南阿佐ヶ谷駅,35.699455,139.63556,"Japan, 〒166-0004 東京都杉並区阿佐谷南1丁目15−7 Minami-asagaya Station"
白金高輪駅,35.642853,139.73407,"Shirokanetakanawa Station, Japan"
上石神井駅,35.7262,139.59229,"Kamishakujii Station, Japan"
三田駅,35.647938,139.74857,"Mita Station, 5 Chome-18-8 Shiba, Minato City, Tokyo 108-0014, Japan"
駒沢大学駅,35.63305,139.66096000000002,"Komazawa-Daigaku Station, Japan"
北千束駅,35.606429999999996,139.69295,"Kita-Senzoku Station, 2-chōme-15 Kitasenzoku, Ota City, Tōkyō-to 145-0062, Japan"
千川駅,35.73809,139.68944,"Senkawa, 3-chōme Kanamechō, Toshima City, Tōkyō-to 171-0043, Japan"
志村三丁目駅,35.777527,139.68608,"Shimurasanchome Station, ３-２３-1 志村 板橋区 東京都 174-0056, Japan"
木場駅,35.669384,139.80685,"Kiba Station, Japan"
京成高砂駅,35.75096,139.86755,"Keisei-Takasago Station, Japan"
西日暮里駅,35.728157,139.77065,"Nippori Station, ２ 丁目 Nishinippori, Arakawa City, Tokyo, Japan"
池ノ上駅,35.660441999999996,139.67334,"Ikenoue Station, Japan"
人形町駅,35.686226,139.78207,"Ningyocho Station, 3-chōme-7 Nihonbashiningyōchō, Chuo City, Tōkyō-to 103-0013, Japan"
代官山駅,35.64809,139.70316,"Daikan-Yama Station, 19-4 Daikanyamacho, Shibuya City, Tokyo 150-0034, Japan"
入谷駅,35.72088,139.7847,"Iriya Station, 1 Chome-6-4 Iriya, Taito City, Tokyo 110-0013, Japan"
氷川台駅,35.749559999999995,139.66547,"Hikawadai Station, Japan"
練馬春日町駅,35.75119,139.64058,"Nerima-kasugacho Station, 3 Chome-29-２５ Kasugacho, Nerima City, Tokyo 179-0074, Japan"
三河島駅,35.733177000000005,139.77848999999998,"Mikawashima Station, 1 Chome Nishinippori, Arakawa City, Tokyo, Japan"
北参道駅,35.678368,139.70555,"Kita-Sando Station, Japan"
練馬高野台駅,35.740629999999996,139.61688,"Japan, 〒177-0033 Tokyo, 練馬区高野台１丁目７−２７ Nerimatakanodai Station"
曙橋駅,35.692375,139.72263,"Akebonobashi Station, Japan"
秋葉原駅,35.698383,139.77307,"Akihabara Station, １丁目-１５-4 外神田 千代田区 東京都 101-0021, Japan"
