,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
72,表参道駅,35.665253,139.7121,12.916666666666664,3.5 km,22.66666666666667,6.9 km,6.866666666666666,1.9 km,28.98333333333333,8.4 km,28.9,12.4 km,29.35,8.3 km,"35.665253, 139.7121"
73,洗足池駅,35.59986,139.69144,26.5,12.9 km,19.683333333333334,14.6 km,22.05,9.8 km,35.266666666666666,23.7 km,24.5,18.2 km,24.466666666666665,7.3 km,"35.59986, 139.69144"
74,東中野駅,35.70623,139.6838,10.1,2.8 km,25.18333333333333,12.5 km,23.466666666666665,7.3 km,14.833333333333336,4.2 km,32.8,10.3 km,31.15,17.9 km,"35.70623, 139.6838"
75,お花茶屋駅,35.747593,139.8401,33.53333333333333,23.6 km,21.316666666666666,13.6 km,39.98333333333333,26.5 km,29.4,18.1 km,24.316666666666666,8.6 km,30.98333333333333,20.1 km,"35.747593, 139.8401"
76,渋谷駅,35.658035,139.70163,14.383333333333333,4.2 km,14.583333333333336,10.4 km,0.0,0 km,30.466666666666665,9.1 km,19.4,14.1 km,26.23333333333333,7.9 km,"35.658035, 139.70163"
77,東武練馬駅,35.76867,139.66238,27.766666666666666,15.8 km,25.88333333333333,18.4 km,30.266666666666666,19.1 km,22.63333333333333,7.0 km,30.63333333333333,17.1 km,35.3,25.5 km,"35.76867, 139.66238"
78,笹塚駅,35.673653,139.66713000000001,12.966666666666667,5.1 km,23.16666666666667,13.3 km,18.466666666666665,5.9 km,21.4,10.7 km,26.6,18.9 km,29.13333333333333,18.7 km,"35.673653, 139.66713"
79,成城学園前駅,35.64013,139.59909,27.73333333333333,14.2 km,31.53333333333333,22.6 km,23.266666666666666,12.2 km,36.35,19.8 km,36.35,26.3 km,56.08333333333334,18.9 km,"35.64013, 139.59909"
80,西台駅,35.78706,139.67279,26.566666666666666,15.3 km,24.68333333333333,18.0 km,29.066666666666666,18.7 km,18.483333333333334,10.2 km,29.43333333333333,16.6 km,34.1,25.0 km,"35.78706, 139.67279"
81,蒲田駅,35.56248,139.71608,40.55,17.3 km,26.05,16.0 km,37.71666666666667,12.4 km,44.45,28.2 km,30.88333333333333,19.7 km,30.78333333333333,9.8 km,"35.56248, 139.71608"
82,飯田橋駅,35.702084,139.74503,17.6,5.1 km,12.4,3.5 km,20.716666666666665,11.6 km,15.366666666666667,7.7 km,13.3,3.7 km,20.53333333333333,11.8 km,"35.702084, 139.74503"
83,上中里駅,35.74658,139.74696,27.5,13.6 km,26.78333333333333,8.2 km,30.0,17.0 km,19.633333333333333,5.3 km,19.6,5.9 km,37.73333333333333,16.4 km,"35.74658, 139.74696"
84,西馬込駅,35.587109999999996,139.70618000000002,28.83333333333333,13.5 km,21.6,15.1 km,25.98333333333333,8.6 km,37.2,24.3 km,26.41666666666667,18.8 km,25.93333333333333,7.9 km,"35.58711, 139.70618000000002"
85,町屋駅,35.742252,139.78139,33.36666666666667,18.7 km,22.4,9.4 km,31.63333333333333,20.2 km,25.28333333333333,13.6 km,14.8,4.7 km,30.316666666666666,15.6 km,"35.742252, 139.78139"
86,板橋本町駅,35.76126,139.70553999999998,19.466666666666665,10.6 km,17.583333333333332,13.3 km,21.966666666666665,14.0 km,11.383333333333333,5.5 km,22.33333333333333,11.9 km,27.0,20.3 km,"35.76126, 139.70553999999998"
87,中延駅,35.60582,139.71275,26.28333333333333,17.9 km,17.05,13.1 km,21.433333333333334,6.6 km,32.63333333333333,22.3 km,21.86666666666667,16.8 km,21.366666666666667,5.9 km,"35.60582, 139.71275"
88,押上駅,35.71033,139.8133,37.516666666666666,15.0 km,23.83333333333333,6.8 km,30.66666666666667,16.6 km,31.63333333333333,22.4 km,15.566666666666665,3.6 km,27.966666666666665,14.8 km,"35.71033, 139.8133"
89,千歳船橋駅,35.64742000000001,139.62398000000002,25.75,11.8 km,33.71666666666667,18.6 km,26.03333333333333,8.2 km,32.53333333333333,18.3 km,32.61666666666667,25.0 km,38.88333333333333,18.7 km,"35.64742000000001, 139.62398000000002"
90,大森駅,35.588448,139.72787,31.816666666666666,14.4 km,20.03333333333333,14.1 km,29.35,12.6 km,38.43333333333333,26.3 km,24.85,17.8 km,20.933333333333334,6.2 km,"35.588448, 139.72787"
